Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
40648411,"Playa Burbuja, un viaje al reino de los señores del ladrillo",Ana Tudela,"Tudela, Ana",Antonio Delgado,"=""""","=""9788494886508""",0,4.67,Datadista,Paperback,516,2018,,,2021/08/26,to-read,to-read (#24),to-read,,,,0,0
56270733,MIENTRAS AGONIZO (Traducción Actualizada),William Faulkner,"Faulkner, William",Alfredo Carnevale,"=""""","=""""",0,4.29,,Kindle Edition,,2020,,,2021/08/24,to-read,to-read (#23),to-read,,,,0,0
45152739,Opt Art: From Mathematical Optimization to Visual Design,Robert Bosch,"Bosch, Robert",,"=""0691164061""","=""9780691164069""",4,4.52,Princeton University Press,Hardcover,200,2019,,2021/08/23,2021/08/23,,,read,,,,1,0
24113,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,"Hofstadter, Douglas R.",,"=""0465026567""","=""9780465026562""",0,4.29,Basic Books,Paperback,756,1999,1979,,2021/08/19,to-read,to-read (#22),to-read,,,,0,0
22320455,If the Oceans Were Ink: An Unlikely Friendship and a Journey to the Heart of the Quran,Carla Power,"Power, Carla",,"=""0805098194""","=""9780805098198""",0,4.10,Holt Paperbacks,Paperback,352,2015,2015,,2021/08/09,to-read,to-read (#21),to-read,,,,0,0
53687,"Fundación (Fundación; Orden de publicación, #1)",Isaac Asimov,"Asimov, Isaac",Pilar Giralt Gorina,"=""1400000823""","=""9781400000821""",5,4.17,"Plaza & Janés Editories, S.A.",Paperback,264,2002,1951,2021/07/29,2021/07/22,,,read,He disfrutado un montón leyendo las estrategias que desarrollan Salvor Hardin y Hober Mallow.,,,1,0
57515385,Los días perfectos,Jacobo Bergareche,"Bergareche, Jacobo",,"=""8417977627""","=""9788417977627""",4,3.85,Libros del Asteroide,Paperback,184,2021,2021,2021/07/20,2021/05/29,,,read,,,,1,0
15997,Paradise Lost,John Milton,"Milton, John",John      Leonard,"=""0140424393""","=""9780140424393""",0,3.83,Penguin Classics,Paperback,453,2003,1667,,2021/07/05,to-read,to-read (#20),to-read,,,,0,0
52096977,Ensayo sobre el día logrado: Sueño de un día de invierno (El Libro De Bolsillo - Bibliotecas De Autor - Biblioteca Handke),Peter Handke,"Handke, Peter",Eustaquio Barjau,"=""""","=""""",0,3.02,Alianza Editorial,Kindle Edition,88,2019,1991,,2021/06/30,to-read,to-read (#19),to-read,,,,0,0
57298394,Da igual: Los veinticinco cuentos despiadados de Agota Kristof,Ágota Kristóf,"Kristóf, Ágota",Rubén Martín Giráldez,"=""""","=""9788412290141""",0,3.67,Alpha Decay,Paperback,80,2021,2005,,2021/06/29,to-read,to-read (#18),to-read,,,,0,0
40138871,Laurie,Stephen King,"King, Stephen",,"=""""","=""""",3,3.70,Stephen King,ebook,32,2018,2018,2021/06/24,2021/06/21,,,read,,,,1,0
54427135,I'm Waiting for You and Other Stories,Bo-Young Kim,"Kim, Bo-Young","Sophie Bowman, Sung Ryu","=""0062951467""","=""9780062951465""",3,3.76,Harper Voyager,Hardcover,321,2021,2021,2021/06/20,2021/05/23,,,read,,,,1,0
248871,"Berserk, Vol. 1 (Berserk, #1)",Kentaro Miura,"Miura, Kentaro",Jason DeAngelis,"=""1593070209""","=""9781593070205""",0,4.48,Dark Horse Manga,Paperback,224,2003,1990,,2021/06/12,to-read,to-read (#17),to-read,,,,0,0
34466958,Bullshit Jobs: A Theory,David Graeber,"Graeber, David",,"=""150114331X""","=""9781501143311""",0,4.03,Simon & Schuster,Hardcover,335,2018,2018,,2020/11/21,on-hold,on-hold (#5),on-hold,,,,0,0
65105,Momentos estelares de la humanidad. Catorce miniaturas históricas,Stefan Zweig,"Zweig, Stefan",Berta Vias Mahou,"=""8495359928""","=""9788495359926""",3,4.23,El Acantilado,Paperback,312,2002,1927,2021/05/13,2021/04/14,,,read,,,,1,0
89717,The Haunting of Hill House,Shirley Jackson,"Jackson, Shirley",Laura   Miller,"=""0143039989""","=""9780143039983""",0,3.83,Penguin Classics,Paperback,182,2006,1959,,2021/04/22,to-read,to-read (#16),to-read,,,,0,0
